,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Thu 2/21,6:00 PM,11US3 11US4,8U4 8U5 8U6,8U1 8U2 8U3,10UF3 10UF1,10UF5 10UF6,FP Travel,FP Travel,FP Travel
,7:15 PM,14UF5 14UF6,12UF3 12UF4,14UF1 14UF2,10UF4 10UF2,15F4,FP Travel,FP Travel,FP Travel
,8:30 PM,19US1,19US2,19US3,15F5,15F6,FP Travel,FP Travel,FP Travel
,,,,,,,,,
,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Fri 2/22,6:00 PM,11US3 11US4,11US1 11US2,8U7 8U10 8U11,10UF11 10UF10,8U12 8U13,8U4 8U5 8U6,SS1 SS2 SS3,SS4 SS5 SS6
,7:15 PM,,,,,,,,
,8:30 PM,,,,,,,,
,,,,,,,,,
,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Sat 2/23,9:00 AM,SS1 SS2 SS3,SRS1 SRS2 SRS3,8U1 8U2,10UF3 10UF4,SS4 SS5 SS6,,,
,10:30 AM,11US3 11US4,11US1 11US2,8U3 8U4,10UF1 10UF2,SRS4 8U13,,,
,12:00 PM,14UF1 14UF2,14US1 14US5,8U5 8U6,10UF5 10UF6,15F1,12UF2 12UF4,15F5,
,1:30 PM,14UF3 14UF4,14US3 14US4,8U7 8U8,10UF7 10UF9,15F2,12UF3 12UF1,15F6,
,3:00 PM,14UF5 14UF6,14US2,8U9 8U11,10UF10 10UF11,15F3,12UF5 12UF6,,
,4:30 PM,,,8U10 8U12,10UF8,15F4,,,
,,,,,,,,,
Mon 2/25,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
,6:00 PM,12UF5 12UF2,12UF3 12UF4,8U1 8U2 8U3,8U12 8U13,10UF5 10UF1,FP Travel,FP Travel,11US1 11US2
,7:15 PM,12UF1 12UF6,14UF1 14UF2,14UF5 14UF6,10UF6 10UF2,15F1,FP Travel,FP Travel,14UF3 14UF4
,8:30 PM,19US1,19US2,19US3,15F2,15F3,,FP Travel,
,,,,,,,,,
Tue 2/26,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
,6:00 PM,SRS2 SRS3 SRS4,8U7  8U9 SRS1,8U11 8U10 8U8,10UF8 10UF9,10UF10 10UF11,FP Travel,FP Travel,FP Travel
,7:15 PM,14US1,14US2 14US3,14US4 14US5,10UF7,15F5,FP Travel,FP Travel,FP Travel
,8:30 PM,19US4,19US5 ,19US6,15F4,15F6,FP Travel,FP Travel,FP Travel
,,,,,,,,,
Wed 2/27,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
,6:00 PM,12UF1 12UF2,8U4 8U5 8U6,8U1 8U2 8U3,10UF3 10UF4,10UF5 10UF6,FP Travel,FP Travel,11US3 11US4
,7:15 PM,12UF3 12UF4,14UF1 14UF2,14UF5 14UF6,10UF1 10UF2,15F3,FP Travel,FP Travel,14US2 14US3
,8:30 PM,19US1,19US2,19US3,15F1,15F2,,FP Travel,
,,,,,,,,,
Thu 2/28,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
,6:00 PM,SRS2 SRS3 SRS4,12UF5 12UF6,8U11 8U10 SRS1,10UF7 10UF9,10UF10 10UF11,FP Travel,FP Travel,FP Travel
,7:15 PM,14US4 14US5,14US1,14UF3 14UF4,10UF8,15F6,FP Travel,FP Travel,FP Travel
,8:30 PM,19US4,19US5 ,19US6,15F4,15F5,FP Travel,FP Travel,FP Travel
,,,,,,,,,
Fri 3/1,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
,6:00 PM,11US3 11US4,11US1 11US2,8U4 8U5 8U6,10UF3 10UF4,8U12 8U13,8U7 8U8 8U9,SS1 SS2 SS3,SS4 SS5 SS6
,7:15 PM,,,,,,,,
,8:30 PM,,,,,,,,
,,,,,,,,,
,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
Sat 3/2,9:00 AM,SS1 SS2 SS3,SRS1 SRS2 SRS3,8U8 8U9,10UF5 10UF6,SS4 SS5 SS6,FP Travel,FP Travel,FP Travel
,10:30 AM,11US3 11US4,11US1 11US2,8U10 8U11,10UF7 10UF8,SRS4 8U7,FP Travel,FP Travel,FP Travel
,12:00 PM,14UF1 14UF2,14US1 14US2,8U3 8U4,10UF1 10UF2,15F1,12UF3 12UF6,15F5,
,1:30 PM,14UF3 14UF4,14US5 14US4,8U1 8U2,10UF3 10UF4,15F2,12UF2 12UF4,15F6,
,3:00 PM,14UF5 14UF6,14US3,8U5 8U6 ,10UF10 10UF11,15F3,12UF5 12UF1,,
,4:30 PM,,,8U12 8U13,10UF9,15F4,,,
,,,,,,,,,
Mon 3/4,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
,6:00 PM,12UF5 12UF6,8U7 8U8 8U9,8U11 8U10 SRS3,10UF5 10UF7,10UF10 10UF11,FP Travel,FP Travel,SRS1 SRS2 SRS4
,7:15 PM,14US1,14US5 14US4,14UF3 14UF4,10UF6,15F4,FP Travel,FP Travel,14UF1 14UF2
,8:30 PM,19US4,19US5 ,19US6,15F5,15F3,,FP Travel,
,,,,,,,,,
Tue 3/5,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
,6:00 PM,11US1 11US2,12UF1 12UF2,8U1 8U2 8U3,10UF3 10UF4,10UF8 10UF9,FP Travel,FP Travel,FP Travel
,7:15 PM,14UF5 14UF6,12UF3 12UF4,14US2 14US3,10UF1 10UF2,15F1,FP Travel,FP Travel,FP Travel
,8:30 PM,19US1,19US2,19US3,15F2,15F6,FP Travel,FP Travel,FP Travel
,,,,,,,,,
Wed 3/6,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
,6:00 PM,12UF5 12UF6,8U7 8U8 SRS4,11US1 11US2,8U12 8U13,10UF8 10UF9,FP Travel,FP Travel,SRS1 SRS2 SRS3
,7:15 PM,14US1,14US5 14US4,14UF3 14UF4,10UF5,15F5,FP Travel,FP Travel,14UF1 14UF2
,8:30 PM,19US4,19US5 ,19US6,15F4,15F3,,FP Travel,
,,,,,,,,,
Thu 3/7,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
,6:00 PM,12UF1 12UF2,8U4 8U5 8U6,8U1 8U2 8U3,10UF3 10UF4,10UF6 10UF7,FP Travel,FP Travel,FP Travel
,7:15 PM,12UF3 12UF4,14UF5 14UF6,14US2 14US3,10UF1 10UF2,15F2,FP Travel,FP Travel,FP Travel
,8:30 PM,19US1,19US2,19US3,15F1,15F6,FP Travel,FP Travel,FP Travel
,,,,,,,,,
Fri 3/8,,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
,6:00 PM,11US3 11US4,11US3 11US4,8U4 8U5 8U6,10UF10 10UF11,8U12 8U13,8U11 8U10 8U9,SS1 SS2 SS3,SS4 SS5 SS6
,7:15 PM,,,,,,,,
,8:30 PM,,,,,,,,
