,Spring 2014 Game Schedule,,,,,,,,Mound,Base,,,
,,,,,,,,SS/SRS/8U,35,55,,,
,,Version 4 - 2/24/14,,,,,,12US,46,60,,,
,,,,,,,,14US,46,65,,,
Notes:,Bold time slots are slots with a head coach having more than one team,,,,,,,19US,50,65,,,
,"60 teams, white slot(s) = mixed age groups",,,,,,,19US,50,65,,,
,,,,,,,,10UF,35,60,,"SS, 8U, 10U works out perfect",
Sat 3/8,Field 1,Field 2,Field 3,Field 4,Field 5,Bases,,12UF,40,60,,keep 40 and 43 fast pitch separate,
,7:30,7:15,7:15,7:15,7:15,,,,,,,,
,12UF2 vs 12UF5,12UF4 vs 12UF7,12UF6 vs 12UF3,15F4 vs 15F2,10UF3 vs 10UF10,4,,,,,,,
,8:45,8:30,8:30,8:30,8:30,,,,,,,,
,,15F3 vs 15F5,14UF3 vs 14UF1,,,0,,,,,,,
,,,,,,,,,,,,,
Sat 3/22,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,SS1 vs SS3,SS2 vs SS5,10UF1 vs 10UF6,SRS1 vs SRS3,8U1 vs 8U10,,,,,,,,
,10:00,10:00,10:15,10:00,10:00,,,,,,,,
,SRS2 vs SRS5,14UF2 vs 14UF3,10UF3 vs 10UF8,8U12 vs 8U6,8U2 vs 8U7,1,,,,,,,
,11:00,11:15,11:30,11:00,11:00,,,,,,,,
,12UF3 vs 12UF7,15F1 vs 15F5,10UF2 vs 10UF7,12US2 vs 12US3,8U3 vs 8U8,2,,,,,,,
,12:15,12:30,12:45,12:00,12:00,,,,,,,,
,12UF1 vs 12UF6,15F2 vs 15F3,10UF4 vs 10UF9,14US3 vs 14US1,8U9 vs 8U4,1,,,,,,,
,1:30,1:45,2:00,1:00,1:00,,,,,,,,
,12UF2 vs 12UF4,15F4 vs 15F6,10UF5 vs 10UF10,14US4 vs 14US2,8U11 vs 8U5,,,,,,,,
,,,,,,,,,,,,,
Mon 3/24,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS4 vs SS1,SRS1 vs SRS4,8U7 vs 8U1,8U10 vs 8U2,8U8 vs 8U11,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,SRS3 vs SRS5,12UF4 vs 12UF5,10UF1 vs 10UF7,19US1 vs 19US4,10UF6 vs 10UF4,4,*7:15 SRS game,,,,,,
,8:15,8:30,8:30,8:15,8:45,,,,,,,,
,,14UF1 vs 14UF2,15F6 vs 15F3,19US3 vs 19US2,,,,,,,,,
,,,,,,,,,,,,,
Tue 3/25,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS3 vs SS2,SRS5 vs SRS4,8U3 vs 8U5,8U4 vs 8U8,10UF5 vs 10UF8,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,14US2 vs 14US3,12UF1 vs 12UF5,12UF2 vs 12UF3,12US1 vs 12US2,10UF2 vs 10UF10,4,,,,,,,
,8:15,8:30,8:30,8:15,8:45,,,,,,,,
,14US1 vs 14US4,14UF1 vs 14UF3,15F4 vs 15F5,19US3 vs 19US1,,1,,,,,,,
,,,,,,,,,,,,,
Thu 3/27,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS5 vs SS4,SRS3 vs SRS2,8U9 vs 8U12,8U11 vs 8U6,8U10 vs 8U7,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,SRS4 vs SRS1,12US3 vs 12US1,12UF1 vs 12UF3,12UF6 vs 12UF7,10UF3 vs 10UF9,4,*7:15 SRS game,,,,,,
,8:15,8:15,8:30,8:30,8:45,,,,,,,,
,,19US2 vs 19US5,15F5 vs 15F2,15F4 vs 15F1,,1,,,,,,,
,,,,,,,,,,,,,
Sat 3/29,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,10:30,10:30,10:30,10:30,10:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,12:00,12:00,12:00,12:00,12:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,1:30,1:30,1:30,1:30,1:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,3:00,3:00,3:00,3:00,3:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,,,,,,,,,,,,,
Mon 3/31,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,,,,,,,,,,,,,
Tue 4/1,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,,,,,,,,,,,,,
Thu 4/3,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,,,,,,,,,,,,,
Sat 4/5,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,10:30,10:30,10:30,10:30,10:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,12:00,12:00,12:00,12:00,12:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,1:30,1:30,1:30,1:30,1:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,3:00,3:00,3:00,3:00,3:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,,,,,,,,,,,,,
Mon 4/7,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS2 vs SS3,SRS5 vs SRS1,8U8 vs 8U1,8U12 vs 8U2,10UF1 vs 10UF8,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,14US3 vs 14US2,12US1 vs 12US3,10UF3 vs 10UF6,10UF7 vs 10UF10,10UF2 vs 10UF9,4,,,,,,,
,8:15,8:15,8:30,8:30,8:45,,,,,,,,
,19US4 vs 19US5,19US1 vs 19US3,,15F6 vs 15F5,,2,,,,,,,
,,,,,,,,,,,,,
Tue 4/8,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS5 vs SS1,SRS4 vs SRS5,8U11 vs 8U3,8U10 vs 8U4,10UF3 vs 10UF5,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,12US2 vs 12US1,12UF5 vs 12UF3,12UF7 vs 12UF2,14US1 vs 14US2,10UF6 vs 10UF10,4,,,,,,,
,8:15,8:30,8:30,8:15,8:45,,,,,,,,
,19US1 vs 19US5,14UF2 vs 14UF1,,14US3 vs 14US4,,1,,,,,,,
,,,,,,,,,,,,,
Thu 4/10,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,12UF6 vs 12UF2,SRS2 vs SRS3,8U9 vs 8U5,8U6 vs 8U7,8U1 vs 8U4,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,12UF7 vs 12UF1,15F2 vs 15F1,14US4 vs 14US1,19US4 vs 19US5,10UF4 vs 10UF7,4,,,,,,,
,8:30,8:30,8:15,8:15,8:45,,,,,,,,
,,15F4 vs 15F3,,19US2 vs 19US3,,0,,,,,,,
,,,,,,,,,,,,,
Sat 4/12,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,SS4 vs SS2,SS5 vs SS3,10UF1 vs 10UF9,SRS5 vs SRS3,8U9 vs 8U1,,,,,,,,
,10:00,10:00,10:15,10:00,10:00,,,,,,,,
,SRS4 vs SRS2,14UF3 vs 14UF2,10UF2 vs 10UF3,8U7 vs 8U12,8U2 vs 8U6,1,,,,,,,
,11:00,11:15,11:30,11:00,11:00,,,,,,,,
,12UF4 vs 12UF3,15F3 vs 15F1,10UF7 vs 10UF5,12US3 vs 12US1,8U10 vs 8U3,2,,,,,,,
,12:15,12:30,12:45,12:00,12:00,,,,,,,,
,12UF6 vs 12UF5,15F2 vs 15F6,10UF6 vs 10UF8,14US1 vs 14US3,8U11 vs 8U4,1,,,,,,,
,1:30,1:45,2:00,1:00,1:00,,,,,,,,
,12UF2 vs 12UF1,15F5 vs 15F4,10UF4 vs 10UF10,14US2 vs 14US4,8U8 vs 8U5,,,,,,,,
,,,,,,,,,,,,,
Mon 4/14,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS2 vs SS1,10UF2 vs 10UF5,8U1 vs 8U6,8U11 vs 8U2,8U12 vs 8U9,,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,,
,SRS3 vs SRS1,10UF1 vs 10UF10,15F6 vs 15F1,12US3 vs 12US2,10UF6 vs 10UF7,4,,,,,,,
,8:15,8:30,8:30,8:15,8:45,,,,,,,,
,,,,19US5 vs 19US3,,1,,*can I move this one,,,,,
,,,,,,,,,,,,,
Tue 4/15,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,12UF7 vs 12UF5,SS4 vs SS5,8U12 vs 8U3,8U4 vs 8U7,8U2 vs 8U5,,,,,,,,
,7:30,7:15,7:15,7:15,7:15,,,,,,,,
,12UF6 vs 12UF4,14US2 vs 14US3,12US1 vs 12US3,10UF2 vs 10UF8,10UF9 vs 10UF3,4,,,,,,,
,8:45,8:15,8:15,8:30,8:30,,,,,,,,
,,19US2 vs 19US4,14US1 vs 14US4,14UF3 vs 14UF1,,2,,,,,,,
,,,,,,,,,,,,,
Thu 4/17,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS3 vs SS1,SRS2 vs SRS1,8U10 vs 8U5,8U8 vs 8U9,8U3 vs 8U6,,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,,
,19US1 vs 19US3,12UF3 vs 12UF6,15F5 vs 15F3,10UF4 vs 10UF5,12UF4 vs 12UF1,5,,,,,,,
