,Fall 2013 Game Schedule,,,,,,,,,,
,,,,,,,,Mound,Base,,
,,Version 3 - 8/30/13,,,,,S&S,35,55,,
,,,,,,,8U,35,55,,
,10:00,10:00,10:00,10:15,10:15,,,,,,
,8U1 vs 8U8,8U3 vs 8U5,11US1 vs 11US3,13UF2 vs 13UF5,10UF3 vs 10UF8,,,,,,
,11:00,11:00,11:00,11:30,11:30,,,,,,
,8U2 vs 8U6,8U7 vs 8U9,14US1 vs 14US3,13UF6 vs 13UF7,10UF2 vs 10UF5,,,,,,
,12:00,12:00,12:00,12:45,12:45,,,,,,
,14F1 vs 14F3,14F2 vs 14F4,,,10UF1 vs 10UF6,,,,,,
,,,,,,,,,,,
Mon 9/23,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U1 vs 8U6,8U2 vs 8U8,SS4 vs SS6,10UF1 vs 10UF7,10UF4 vs 10UF6,,,,,,
,7:15,7:15,7:15,7:30,7:30,,,,,,
,13UF2 vs 13UF7,11US2 vs 11US3,14US1 vs 14US2,14F1 vs 14F4,14F2 vs 14F3,,,,,,
,,,,,,,,,,,
Tue 9/24,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U3 vs 8U7,8U1 vs 8U9,SS1 vs SS2,11US1 vs 11US2,10UF2 vs 10UF8,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,
,13UF4 vs 13UF5,14US2 vs 14US3,,19US2 vs 19US3,10UF3 vs 10UF5,,,,,,
,8:30,8:15,8:15,8:15,8:45,,,,,,
,,,,19US1 vs 19US2,,,,,,,
,,,,,,,,,,,
Thu 9/26,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U1 vs 8U4,8U4 vs 8U9,SS3 vs SS5,11US1 vs 11US3,14F1 vs 14F3,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,
,13UF3 vs 13UF6,14US1 vs 14US3,,19US1 vs 19US3,14F2 vs 14F4,,,,,,
,,,,,,,,,,,
Sat 9/28,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,
,SS1 vs SS3,SS2 vs SS4,SS5 vs SS6,13UF4 vs 13UF7,10UF2 vs 10UF7,,,,,,
,10:00,10:00,10:00,10:15,10:15,,,,,,
,8U1 vs 8U5,8U4 vs 8U8,11US1 vs 11US2,13UF3 vs 13UF5,10UF4 vs 10UF5,,,,,,
,11:00,11:00,11:00,11:30,11:30,,,,,,
,8U2 vs 8U7,8U6 vs 8U9,14US1 vs 14US2,13UF1 vs 13UF6,10UF3 vs 10UF6,,,,,,
,12:00,12:00,12:00,12:45,12:45,,,,,,
,14F1 vs 14F2,14F3 vs 14F4,,,10UF1 vs 10UF8,,,,,,
,,,,,,,,,,,
Mon 9/30,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U1 vs 8U7,8U3 vs 8U9,SS3 vs SS6,10UF1 vs 10UF2,10UF3 vs 10UF4,,,,,,
,7:15,7:15,7:15,7:30,7:30,,,,,,
,13UF1 vs 13UF2,13UF3 vs 13UF7,,14F1 vs 14F3,14F2 vs 14F4,,,,,,
,,,,,,,,,,,
Tue 10/1,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U1 vs 8U5,8U2 vs 8U3,SS1 vs SS4,11US1 vs 11US3,10UF5 vs 10UF6,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,
,13UF5 vs 13UF6,14US1 vs 14US3,,19US1 vs 19US2,10UF7 vs 10UF8,,,,,,
,8:30,8:15,8:15,8:15,8:45,,,,,,
,,,,19US2 vs 19US3,,,,,,,
,,,,,,,,,,,
Thu 10/3,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,,,,,,,,,,,
Sat 10/5,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,10:30,10:30,10:30,10:30,10:30,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,12:00,12:00,12:00,12:00,12:00,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,1:30,1:30,1:30,1:30,1:30,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,3:00,3:00,3:00,3:00,3:00,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,,,,,,,,,,,
Mon 10/7,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,,,,,,,,,,,
Tue 10/8,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,
,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,FALL BREAK,,,,,,
,,,,,,,,,,,
Thu 10/10,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U4 vs 8U5,8U6 vs 8U8,SS2 vs SS5,11US1 vs 11US2,10UF2 vs 10UF7,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,
,13UF2 vs 13UF5,14US1 vs 14US2,,19US2 vs 19US3,13UF3 vs 13UF4,,,,,,
,,,,,,,,,,,
Sat 10/12,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,
,SS1 vs SS6,SS2 vs SS3,SS4 vs SS5,13UF4 vs 13UF6,10UF2 vs 10UF4,,,,,,
,10:00,10:00,10:00,10:15,10:15,,,,,,
,8U5 vs 8U9,8U3 vs 8U8,11US2 vs 11US3,13UF2 vs 13UF3,10UF6 vs 10UF8,,,,,,
,11:00,11:00,11:00,11:30,11:30,,,,,,
,8U2 vs 8U4,8U6 vs 8U7,14US2 vs 14US3,13UF1 vs 13UF7,10UF5 vs 10UF7,,,,,,
,12:00,12:00,12:00,12:45,12:45,,,,,,
,14F1 vs 14F4,14F2 vs 14F3,,,10UF1 vs 10UF3,,,,,,
,,,,,,,,,,,
Mon 10/14,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U1 vs 8U3,8U2 vs 8U6,SS3 vs SS4,10UF1 vs 10UF4,10UF2 vs 10UF3,,,,,,
,7:15,7:15,7:15,7:30,7:30,,,,,,
,13UF6 vs 13UF7,13UF1 vs 13UF3,11US1 vs 11US2,14F1 vs 14F2,14F3 vs 14F4,,,,,,
,,,,,,,,,,,
Tue 10/15,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U5 vs 8U7,8U4 vs 8U6,SS1 vs SS5,11US1 vs 11US3,10UF6 vs 10UF7,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,
,13UF5 vs 13UF7,13UF2 vs 13UF4,14US1 vs 14US2,19US1 vs 19US3,10UF5 vs 10UF8,,,,,,
,,,,,,,,,,,
Thu 10/17,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,
,8U7 vs 8U9,8U5 vs 8U8,SS2 vs SS6,11US2 vs 11US3,10UF3 vs 10UF8,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,
,13UF4 vs 13UF5,14US2 vs 14US3,,19US1 vs 19US2,13UF3 vs 13UF6,,,,,,
,8:30,8:15,8:15,8:15,8:45,,,,,,
,,,,19US1 vs 19US3,,,,,,,
,,,,,,,,,,,
Sat 10/19,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,
,SS1 vs SS2,SS3 vs SS5,SS4 vs SS6,13UF2 vs 13UF6,10UF1 vs 10UF5,,,,,,
,10:00,10:00,10:00,10:15,10:15,,,,,,
,8U8 vs 8U9,8U3 vs 8U4,11US1 vs 11US3,13UF3 vs 13UF7,10UF4 vs 10UF8,,,,,,
,11:00,11:00,11:00,11:30,11:30,,,,,,
,8U5 vs 8U6,8U1 vs 8U2,14US1 vs 14US3,13UF1 vs 13UF5,10UF3 vs 10UF7,,,,,,
,12:00,12:00,12:00,12:45,12:45,,,,,,
,14F1 vs 14F3,14F2 vs 14F4,,,10UF2 vs 10UF6,,,,,,
