201303131930410UF810UF10,03-13-2013,19:30,20:45,10UF8,Lost Mt. Field #4,Game,10UF10,,
201303131930512UF312UF5,03-13-2013,19:30,20:45,12UF3,Lost Mt. Field #5,Game,12UF5,,
201303132015119US219US4,03-13-2013,20:15,21:15,19US2,Lost Mt. Field #1,Game,19US4,,
201303132030215F115F3,03-13-2013,20:30,21:45,15F1,Lost Mt. Field #2,Game,15F3,,
201303132015314US214US4,03-13-2013,20:15,21:15,14US2,Lost Mt. Field #3,Game,14US4,,
201303132045414UF214UF3,03-13-2013,20:45,22:00,14UF2,Lost Mt. Field #4,Game,14UF3,,
2013031718151SS2SS3,03-17-2013,18:15,19:15,SS2,Lost Mt. Field #1,Game,SS3,,
2013031718152SRS4SRS3,03-17-2013,18:15,19:15,SRS4,Lost Mt. Field #2,Game,SRS3,,
20130317181538U18U5,03-17-2013,18:15,19:15,8U1,Lost Mt. Field #3,Game,8U5,,
20130317181548U98U7,03-17-2013,18:15,19:15,8U9,Lost Mt. Field #4,Game,8U7,,
201303171815510UF710UF9,03-17-2013,18:15,19:30,10UF7,Lost Mt. Field #5,Game,10UF9,,
201303171915112UF512UF7,03-17-2013,19:15,20:30,12UF5,Lost Mt. Field #1,Game,12UF7,,
201303171915219US319US5,03-17-2013,19:15,20:15,19US3,Lost Mt. Field #2,Game,19US5,,
201303171915312US312US2,03-17-2013,19:15,20:30,12US3,Lost Mt. Field #3,Game,12US2,,
201303171915412UF112UF4,03-17-2013,19:15,20:30,12UF1,Lost Mt. Field #4,Game,12UF4,,
201303171930510UF410UF8,03-17-2013,19:30,20:45,10UF4,Lost Mt. Field #5,Game,10UF8,,
201303172030115F115F6,03-17-2013,20:30,21:45,15F1,Lost Mt. Field #1,Game,15F6,,
201303172015219US419US1,03-17-2013,20:15,21:15,19US4,Lost Mt. Field #2,Game,19US1,,
201303172015314US414US3,03-17-2013,20:15,21:15,14US4,Lost Mt. Field #3,Game,14US3,,
201303172030414UF214UF1,03-17-2013,20:30,21:45,14UF2,Lost Mt. Field #4,Game,14UF1,,
2013031818151SS4SS5,03-18-2013,18:15,19:15,SS4,Lost Mt. Field #1,Game,SS5,,
2013031818152SRS4SRS5,03-18-2013,18:15,19:15,SRS4,Lost Mt. Field #2,Game,SRS5,,
20130318181538U48U6,03-18-2013,18:15,19:15,8U4,Lost Mt. Field #3,Game,8U6,,
20130318181548U28U3,03-18-2013,18:15,19:15,8U2,Lost Mt. Field #4,Game,8U3,,
201303181815512UF412UF6,03-18-2013,18:15,19:30,12UF4,Lost Mt. Field #5,Game,12UF6,,
201303181915219US519US4,03-18-2013,19:15,20:15,19US5,Lost Mt. Field #2,Game,19US4,,
201303181915312US212US1,03-18-2013,19:15,20:30,12US2,Lost Mt. Field #3,Game,12US1,,
201303181915410UF210UF6,03-18-2013,19:15,20:30,10UF2,Lost Mt. Field #4,Game,10UF6,,
201303181930510UF110UF5,03-18-2013,19:30,20:45,10UF1,Lost Mt. Field #5,Game,10UF5,,
201303182015219US219US3,03-18-2013,20:15,21:15,19US2,Lost Mt. Field #2,Game,19US3,,
201303182015314US214US1,03-18-2013,20:15,21:15,14US2,Lost Mt. Field #3,Game,14US1,,
201303182030414UF314UF2,03-18-2013,20:30,21:45,14UF3,Lost Mt. Field #4,Game,14UF2,,
201303201815110UF810UF9,03-20-2013,18:15,19:30,10UF8,Lost Mt. Field #1,Game,10UF9,,
